Przemyslaw Stpiczynski	 2D constraint language
Steffi Beckhaus	 publishing data
Valery Trifonov	 publishing data
Mordecai J. Golin	 pull-up terminators
Nazlena Mohamad Ali	 pull-up terminators
Gio Wiederhold	 pulse logic
Noam Chomsky	 pulse logic
Peter-Michael Seidel	 pulse logic
Valeria De Antonellis	 pulse logic
Matteo Baldoni	 PUMA
Y&uuml;cel Karabulut	 PUMA
Lorenzo Alvisi	 purchase request phase
Marco Winckler	 purchase request phase
Amir Averbuch	 pursuit
Kaladhar Voruganti	 pursuit
Klaus Waldschmidt	 pursuit
Lars Linsen	 pursuit
Lieven Eeckhout	 pursuit
Paolo Bouquet	 pursuit
Pierre-Arnoul de Marneffe	 pursuit
Trevor I. Fenner	 pursuit
James M. Purtilo	 push-based data delivery
Sonia M. Leach	 push-based data delivery
Philippe Bonnet	 push-based delivery
Vladimir Pestov	 push-based delivery
Mehmet Ertugrul &Ccedil;elebi	 pushdown system
Arie van Deursen	 pushout
Arie Yeredor	 pushout
Milena Dobreva	 pushout
Milind Dawande	 pushout
John Lach	 Push-Pull Messaging
Thomas Plagemann	 Push-Pull Messaging
Katharina J. Rohlfing	 puzzle
Sivarama P. Dandamudi	 PVCI
Yiannis Aloimonos	 PVCI
Alain Wegmann	 PVDF
Brad Calder	 PVDF
Robert B. Stone	 PVDF
Yvonne Rogers	 PVDF
Beno&icirc;t Hudson	 PVM
Christoph Storb	 PVM
Pascal Felber	 PVM
Roger J. Hubbold	 PVM
Shuai Ma	 PVM
Tim Furche	 PVM
Yolande Berbers	 PVM
Yongzheng Zhang	 PVM
Jeannette M. Wing	 PVM environment
Maria-Eugenia Iacob	 PVM environment
Robert Full&eacute;r	 PVM environment
Sean Quinlan	 PVM environment
Wayne Wobcke	 PVM message passing library
Alberto Martelli	 PVS
Jane Cleland-Huang	 PVS
Kim B. Bruce	 PVS
Lutz Richter	 PVS
Rami G. Melhem	 PVS
Steven A. Demurjian	 PVS
Catherine A. Zanbaka	 PVS specification language
Mark Borodovsky	 PVS specification language
Catherine Beauchemin	 PVS theorem prover
Mark Claypool	 PVS theorem prover
Alberto Montresor	 PVS.
Kim Marriott	 PVS.
Philippe Biane	 PVS.
Levent Burak Kara	 pyramid
Richard T. Snodgrass	 pyramid
Venkatesh Akella	 pyramid
Luis Gravano	 QCM
Richard M. Murray	 QCM
Rita Maria da Silva Julia	 QCM
Vito Roberto	 QCM
Celia Pearce	 QOLB
Mohit Gupta	 QOLB
Debra J. Richardson	 QoS
Generoso Paolillo	 QOS
Hans-Peter Seidel	 QOS
Jen-Yao Chung	 QoS
Maria Grazia Buscemi	 QoS
Martin Wunderli	 QoS
Nishkam Ravi	 QoS
Peretz Shoval	 QoS
Peter Fettke	 QOS
Ravi S. Sandhu	 QoS
Ren&eacute; Peralta	 QoS
Robert Geist	 QoS
Saartje Brockmans	 QoS
Joel Wein	 QoS architecture
Vijay Varadharajan	 QoS architecture
Barbara Liskov	 QoS guarantees
C. S. George Lee	 QoS guarantees
Dominique Decouchant	 QoS guarantees
Dominique Duval	 QoS guarantees
Dominique Gay	 QoS guarantees
Dominique Laurent	 QoS guarantees
Jennifer Sampson	 QoS guarantees
Joelle Pineau	 QoS guarantees
Natalia Manola	 QoS guarantees
Tawfig Abdelaziz	 QoS guarantees
Umberto Straccia	 QoS guarantees
Victor Didenko	 QoS guarantees
Vijayakumar Shanmugasundaram	 QoS guarantees
Wolf Zimmermann	 QoS guarantees
Wolffried Stucky	 QoS guarantees
Bruno Motta de Carvalho	 QoS index and utility model
Patrick Ziegler	 QoS index and utility model
Peter T. Wood	 QoS index and utility model
Stephen Montgomery	 QoS index and utility model
Zoltan Somogyi	 QoS index and utility model
Bruno N. Di Stefano	 QoS management
Donald Sannella	 QoS management
Erik Poll	 QoS management
Marc H. Scholl	 QoS management
Patrizio Dazzi	 QoS management
Stephen Muggleton	 QoS management
Sven Groppe	 QoS management
Uwe Kastens	 QoS management
Zoran Majkic	 QoS management
Dominique Pastor	 QoS negotiation
Maria H&aring;kansson	 QoS negotiation
Mike Hibler	 QoS negotiation
Danielle S. McNamara	 QoS provisioning
Dominique Roelants van Baronaigien	 QoS provisioning
Joseph Pasquale	 QoS provisioning
Klaus-Robert M&uuml;ller	 QoS provisioning
Maria Halkidi	 QoS provisioning
Jamal Bentahar	 QoS requirements
Taisir Eldos	 QoS requirements
Bruno R. Preiss	 QoS tradeoff
Patrizio Pelliccione	 QoS tradeoff
Peter Thanisch	 QoS tradeoff
Stephen N. Freund	 QoS tradeoff
Zoran Popovic	 QoS tradeoff
Edwin M. Knorr	 QoS(Quality-of-Service)
Lars Arge	 QoS(Quality-of-Service)
Margaret M. Burnett	 QoS(Quality-of-Service)
Martijn C. Schut	 QoS(Quality-of-Service)
Tien Nhut Nguyen	 QoS(Quality-of-Service)
Xiaofeng Chen	 QoS(Quality-of-Service)
Kamala Krithivasan	 QoS.
Kohji Tomita	 QoS.
Gudmund Skovbjerg Frandsen	 QoS-dependent costs
Jo&atilde;o Manuel R. S. Tavares	 QoS-dependent costs
Dominique Schr&ouml;der	 QoS-sensitive communication
Wolfgang A. Teder-S&auml;lej&auml;rvi	 QoS-sensitive communication
Mohamed Naimi	 QR decomposition
Stephanie Seneff	 QR decomposition
Bruno Sadeg	 Q-RAM
Pattie Maes	 Q-RAM
Stephen P. Banks	 Q-RAM
Zoran Radovic	 Q-RAM
Marie Thilliez	 QtPlay
Marc H. Scholl	 quadratic error functions
Mathieu Roche	 quadratic error functions
Sharad Mehrotra	 quadratic error functions
Tobias Mettler	 quadratic error functions
Jean-Yves Le Boudec	 quadratic filters
Maria Simosi	 quadratic filters
Gregory Kucherov	 Quadratic func-tions
Reda Alhajj	 Quadratic func-tions
Vivi Nastase	 Quadratic func-tions
Amanda Clare	 quadratic placement
Jean-Loup Baer	 quadratic placement
Julie Dorsey	 quadratic placement
Mark Leone	 quadratic placement
Martin Homola	 quadratic placement
Mathieu Giraud	 quadratic placement
Maurice Clerc	 quadratic placement
Mikhail Auguston	 quadratic placement
Mohan M. Trivedi	 quadratic placement
Patrick Lambrix	 quadratic placement
Peter Jonsson	 quadratic placement
Ralph Grishman	 quadratic placement
Robert W. Floyd	 quadratic placement
Sherry Turkle	 quadratic placement
Shun-Yun Hu	 quadratic placement
Udo Hahn	 quadratic placement
Yelena Yesha	 quadratic placement
Roberto Bagnara	 Quadratic Programming
Stanislav Jendrol	 Quadratic Programming
Abdel Ennaji	 quadratic time
Celina M. Herrera de Figueiredo	 quadratic time
Detlev Droege	 quadratic time
Mirco Rossi	 Quadric
Jianwen Su	 quadric error metric
Klaus Berberich	 quadric error metric
Key Pousttchi	 Quadrics interconnect.
Reza Azarderakhsh	 Quadrics interconnect.
Massimo Ancona	 quadrilinear relations
Michael T. Hallett	 quadrilinear relations
Sunil M. Shende	 quadrilinear relations
Friedemann Mattern	 quadtree data structure
Steven B. Damelin	 quadtree data structure
Frieder Stolzenburg	 quadtree splines
Steven Burrows	 quadtree splines
Julia Couto	 quadtrees
Stephen L. Bloom	 quadtrees
Ulrik Schroeder	 quadtrees
William T. Trotter	 quadtrees
Michael J&uuml;nger	 qualitative assessment
Tobias Isenberg	 qualitative assessment
Troels Bjerre S&oslash;rensen	 qualitative assessment
Jae C. Oh	 qualitative decision theory
Pascal Lorenz	 qualitative decision theory
Graham J. L. Kemp	 qualitative modeling
Robert Krug 0002	 qualitative modeling
Reinhold Haux	 qualitative observation
Prabhakar Raghavan	 qualitative properties
Tanya Bragin	 qualitative properties
Claude Carlet	 qualitative reasoning
Matthias Wimmer	 qualitative reasoning
Mauro Negri	 qualitative simulation
Sanguthevar Rajasekaran	 qualitative simulation
Serafim Batzoglou	 qualitative simulation
Jason Flannick	 qualitative spatial reasoning
Manuel Oriol	 Qualitative spatial reasoning
Markus P. J. Fromherz	 qualitative spatial reasoning
Salima Benbernou	 Qualitative spatial reasoning
Satish Rao	 Qualitative spatial reasoning
Vincent Ng	 Qualitative spatial reasoning
Mihalis Yannakakis	 qualitative study
P&eacute;ter Jacs&oacute;	 qualitative study
Sabine Rittmann	 qualitative study
Sabine S&uuml;sstrunk	 qualitative study
Shelby Funk	 qualitative study
Ville Lepp&auml;nen	 qualitative study
E. Allen Emerson	 qualitative vision
Myoung-Ho Kim	 qualitative vision
Suchendra M. Bhandarkar	 qualitative vision
Byron J. Gao	 quality
Mohammad Mannan	 quality
Nils T. Siebel	 quality
Peter Hoschka	 quality
Joerg Evermann	 quality control
Vijayan Sugumaran	 quality control
Berry Schoenmakers	 quality improvement paradigm
Hazel Everett	 quality improvement paradigm
Shankar Subramaniam	 quality improvement paradigm
Mark Ratcliffe	 quality improvement program
Mathieu Petit	 quality improvement program
Peter A. Flach	 quality improvement program
Sven J. Dickinson	 quality improvement program
Agathe Merceron	 quality model
Emma J. Rose	 quality model
Eshrat Arjomandi	 quality modes
Huw Evans	 quality modes
Jaewoo Kang	 quality modes
Andrew J. Hanson	 quality of security service
Andrew P. Paplinski	 quality of security service
Norman D. Black	 quality of security service
Oliver Schulte	 quality of security service
Alexander Pott	 quality of service
Amit Sahai	 quality of service
Andrew J. Kalafut	 quality of service
Andrew P. Tolmach	 quality of service
Bruno Siciliano	 quality of service
C. V. Jawahar	 quality of service
David Farag&oacute;	 quality of service
Erik Reeber	 quality of Service
Esko Ukkonen	 quality of service
G&uuml;nther Heinemann	 quality of service
Hamida Seba	 Quality of Service
Hans-Peter Steiert	 quality of service
Henri-Fran&ccedil;ois Raynaud	 quality of service
Henrik Artman	 quality of service
Huzur Saran	 quality of service
Jaeyeon Jung	 quality of service
Jarmo Takala	 Quality of Service
Jeanne Ferrante	 Quality of Service
Jennie J. Gallimore	 quality of service
Jennifer T. Chayes	 quality of service
Jens Markus Melenk	 Quality of Service
Jiannong Cao	 quality of service
John Plaice	 quality of service
Lech Polkowski	 quality of service
Markus M&uuml;ller-Olm	 quality of service
Martijn J. Rutten	 quality of service
Martijn van Welie	 quality of service
Martin Bravenboer	 Quality of Service
Martin Ziegler	 quality of service
Martin Ziegler 0002	 quality of service
Nissim Francez	 quality of service
Nitesh V. Chawla	 quality of service
Oliver Vornberger	 quality of service
Omkant Pandey	 quality of service
Paul A. Cairns	 quality of service
Peri L. Tarr	 quality of service
Pericles Loucopoulos	 quality of service
Pierre E. Dupont	 quality of service
Ragavendran Gopalakrishnan	 quality of service
Ralf Klessen	 quality of service
Riadh Ben Halima	 quality of service
Roberta Lamb	 Quality of Service
Stephen P. Boyd	 quality of service
Stephen W. Liddle	 quality of service
Tassilo Klein	 quality of service
Ted Sandler	 quality of service
Timo Ropinski	 quality of service
Umesh Maheshwari	 quality of service
Uwe M. Borghoff	 quality of Service
Victor Fay Wolfe	 quality of service
Werner Kie&szlig;ling	 quality of service
William T. Trotter	 Quality of Service
Xiaoyin Wang	 quality of service
Yuhua Luo	 Quality of Service
Zorana Ercegovac	 quality of service
Abbas Heydarnoori	 quality of service (QoS)
Prithviraj Dasgupta	 quality of service (QoS)
Gregory Piatetsky-Shapiro	 Quality of Service (QoS) Control
Junichiro Mori	 Quality of Service (QoS) Control
Patrick Crowley	 Quality of Service (QoS) Control
Rainer Gallersd&ouml;rfer	 Quality of Service (QoS) Control
Richard J. Gibbens	 Quality of Service (QoS) Control
Sofie Haesevoets	 Quality of Service (QoS) Control
Joey Paquet	 quality of service architecture
Vijayshankar Raman	 quality of service architecture
Christine Julien 0002	 quality of service guarantees
Kurt Maly	 quality of service monitoring
Manuel Palomar	 quality of service monitoring
Kurt Mehlhorn	 quality of service negotiation
Manuel Roveri	 quality of service negotiation
Kurt N&oslash;rmark	 quality of service notification
Manuel Serrano	 quality of service notification
Kent E. Seamons	 quality of service requirements
Peter D. Mosses	 quality of service requirements
Phil D. Picton	 quality of service requirements
Steven J. Owen	 quality of service requirements
Volker Strom	 quality of service requirements
Bert Cranen	 quality patterns
Heath A. James	 quality patterns
Shankara Narayanan Krishna	 quality patterns
Levent Yilmaz	 quality requirement
Oscar Pastor	 quality requirement
Paulo Moura	 quality requirement
Art&euml;m Sapozhnikov	 quality-of-service
Emily Rocke	 quality-of-service
Helena Galhardas	 quality-of-service
Jacques F. Vallee	 Quality-of-Service
Pieter S. Kritzinger	 quality-of-service
Ravi Sundaram	 Quality-of-Service
Robert F. Erbacher	 Quality-of-Service
Stephan Sigg	 quality-of-service
Tanya Bragin	 quality-of-service
Erik Reinhard	 quality-of-service control
George A. Vouros	 quality-of-service control
Wai-Shing Luk	 quality-of-service control
Shengyue Ji	 quality-of-service guarantees
Artem Katasonov	 quality-of-service networks
Birgitta K&ouml;nig-Ries	 quality-of-service networks
Joffroy Beauquier	 QUANTA
Vikram Sharma	 QUANTA
G&uuml;nter Hotz	 quantitative association rules
Mladen Berekovic	 quantitative association rules
Kim B. Bruce	 quantitative data
Laxmi N. Bhuyan	 quantitative data
Michela Milano	 quantitative evaluation
Herbert Kuchen	 Quantitative Measure
Milos D. Ercegovac	 Quantitative Measure
Anand Rajaraman	 quantization
David E. Goldberg	 quantization
J&uuml;rgen Giesl	 quantization
W. Richards Adrion	 quantization
Serge S. Shumilov	 quantized input code
Kenrick J. Mock	 quantum cellular automata
Lars Erik Holmquist	 quantum cellular automata
Marie Thilliez	 quantum cellular automata
Alexis Muller	 quantum computation
Alf Gerisch	 quantum computation.
A. H. Abdul Hafez	 quantum cryptography
Bastin Tony Roy Savarimuthu	 quantum cryptography
Christian Bird	 quantum cryptography
Beat Gfeller	 quantum information
Burkhard Freitag	 quantum mechanics
G&aacute;bor Tardos	 quantum mechanics
Gerald Quirchmayr	 quantum mechanics
Giuseppe Scarpa	 quantum mechanics
Lilya Budaghyan	 quantum mechanics
Mehmet A. Orgun	 quantum mechanics
Philippe Devienne	 quantum mechanics
Pietro Perona	 quantum mechanics
Stratos Idreos	 quantum mechanics
V&iacute;tor Santos Costa	 quantum mechanics
Jean-Pierre Briot	 quartet
Marc Denecker	 quartet
Michael Scott	 quartet
Adrian Munteanu	 quartet-based methods
Carl H. Smith	 quartet-based methods
Matthias Renz	 quasi-minimal residual property
Xiaohui Xue	 quasi-minimal residual property
David G. Mitchell	 quasi-Monte Carlo integration
David G. Schwartz	 quasi-random walk
Anne Bennett	 quasi-squares
Max Q.-H. Meng	 quasi-squares
Ye Zhang	 quasi-squares
Peter Hoschka	 quaternion
Peter Jonsson	 quaternion
Christian Borgs	 quaternions
Leizhen Cai	 quaternions
Patrick Baudisch	 quaternions
Robert L. Cook	 quaternions
Rushed Kanawati	 quaternions
Thomas Herrmann	 quaternions
Christopher Cronin	 query
H. Siegfried Stiehl	 query
Haixun Wang	 query
Haruo Yokota	 query
Marco Pellegrini	 query
Michael Wilson	 query
Sascha Lorenz	 query
Shalom Tsur	 query
Vladik Kreinovich	 query
Alan L. Cox	 Query and Update Tuning
Anne Doucet	 Query and Update Tuning
Pascal Vaillant	 query answering using views
Foster J. Provost	 query appoximation
Jos&eacute; Lu&iacute;s Barros Justo	 query appoximation
Lucy R. Shores	 query appoximation
Axel Klar	 query by content
Elena Nardini	 query by content
Srikanth B. Yoginath	 query by content
Steven J. Lynden	 query by diagram
Axel Polleres	 query by example
Elena Zucca	 query by example
John K. Slaney	 query by example
Jordi Pag&egrave;s	 query by example
Michael E. Mays	 query by example
Peter J. Downey	 query by example
Phokion G. Kolaitis	 query by example
Srikanth Kandula	 query by example
