 2D constraint language	Przemyslaw Stpiczynski
 optical devices	Karin Leichtenstern
 optical flow	Akram Idani
 optical flow	Boris Novikov
 optical flow	Bruce N. Walker
 optical flow	Daniel Barbar&aacute;
 optical flow	J. Mark Keil
 optical flow	Kevin W. Bowyer
 optical flow	Nicola Leone
 optical flow	Pablo Moreno-Ger
 optical flow	Plamen P. Angelov
 optical flow	Salvatore Tucci
 optical flow	Tanu Malik
 optical flow	Xiaoyi Jiang
 optical flow.	Jacob Scharcanski
 optical flow.	Krysta Marie Svore
 optical focusing	Mike Sips
 optical focusing	Petr H&aacute;jek
 optical focusing	Yung-Nien Sun
 optical information processing	Alfred K. Louis
 optical information processing	Antoine Joux
 optical information processing	Antonio L. Furtado
 optical information processing	Felix Warneken
 optical information processing	Gabriella Kazai
 optical information processing	K. Bretonnel Cohen
 optical information processing	Karen A. Tomko
 optical information processing	Karin Neuhold
 optical information processing	Luis Enrique Sucar
 optical information processing	Mark B. Ring
 optical information processing	Mohammad Ghodsi
 optical information processing	Peter H. Hughes
 optical information processing	Peter Henderson
 optical information processing	Petr Jancar
 optical interconnect	Martin F. Arlitt
 optical interconnect	Muhammad Asiful Islam
 optical interconnect	Steven Skiena
 optical interconnections	Antoine Naud
 optical interconnections	Antonio Mart&iacute;nez-Alc&aacute;ntara
 optical interconnections	Gabriella Pigozzi
 optical interconnections	K. J. Ray Liu
 optical interconnections	Karine Zeitouni
 optical interconnections	Martin Fowler
 optical interconnections	Muhammad Naeem 0002
 optical interconnections	Steven W. McLaughlin
 optical interconnects	Bruce M. Boghosian
 optical interconnects	Michael T. Orchard
 optical interconnects	Olivier Billet
 optical interconnects	Ulrike von Luxburg
 optical music recognition	Amit P. Sheth
 optical music recognition	David Monniaux
 optical music recognition	J&uuml;rgen F. H. Winkler
 optical music recognition	Michael Haller
 optical music recognition	Wei Zhang 0002
 optical network testbed	Antoine Petit
 optical network testbed	Antonio Natali
 optical network testbed	Gabrielle Allen
 optical network testbed	K. Mani Chandy
 optical network testbed	Karl Aberer
 optical networks	Davy Van Nieuwenborgh
 optical networks	Jacques Cohen
 optical networks	John E. Warnock
 optical networks	Mike Jackson 0003
 optical networks	Mike Neubig
 optical networks	Paolo Romano 0001
 optical networks	Roger D. Chamberlain
 optical networks	Rosemary Michelle Simpson
 optical networks	Taneli Mielik&auml;inen
 optical networks	Tom Pfeifer
 optical networks	William Kocay
 optical networks	Wolfgang Luh
 optical path	Mike Thelwall
 optical path	Petr Lisonek
 optical path	Yunmei Chen
 optical ring	Jugurta Lisboa Filho
 optical ring	Omar Alonso
 optical switching	Andrew McCallum
 optical switching	Mustak E. Yalcin
 optical switching	Ulysses Bernardet
 optical triangulation	Paolo Giorgini
 optical triangulation	Ross J. Anderson
 optical triangulation scanners	Paolo Grigolini
 optical triangulation scanners	Ross MacIntyre
 optical-flow algorithms	Karen D. Devine
 optical-flow algorithms	Mohammad Javad Yazdanpanah
 optical-flow algorithms	Peter H. N. de With
 optical-flow algorithms	Peter Honeyman
 optimal access time	Jennifer Pittman
 optimal access time	Mirka Miller
 optimal access time	Murray Turoff
 optimal authentification protocols	Mario Rodr&iacute;guez-Artalejo
 optimal binocular stereo configuration	John J. Leggett
 optimal binocular stereo configuration	Petr Mus&iacute;lek
 optimal bounds	Fernando Magno Quint&atilde;o Pereira
 optimal bounds	Martin J&auml;gersand
 optimal broadcast algorithm	Juha K&auml;rkk&auml;inen
 optimal broadcast algorithm	Omar Benjelloun
 optimal broadcast algorithms	Juha Kostamovaara
 optimal broadcast algorithms	Omar Boucelma
 optimal channel allocation	Jennifer Rexford
 optimal channel allocation	Mirko Cesarini
 optimal channel allocation	Mustafa Cenk Gursoy
 Optimal Code Size Efficiency	Herbert Kopp
 Optimal Code Size Efficiency	Milena Dobreva
 optimal complexity.	Marcus Costa Sampaio
 optimal complexity.	Nazlena Mohamad Ali
 optimal control	Alain Lascoux
 optimal control	Egidio Astesiano
 optimal control	Frank Puhlmann
 optimal control	John Regehr
 optimal control	Pete Wyckoff
 optimal control	Uwe Reyle
 optimal control	Wil M. P. van der Aalst
 optimal control	Yves Kodratoff
 optimal CPU delay interval	Egon B&ouml;rger
 optimal CPU delay interval	Uwe Roth
 optimal curve and surface fitting	Gregory Z. Grudic
 optimal curve and surface fitting	Iain A. Stewart
 optimal cutting	Jos&eacute;-Mar&iacute;a Serrano
 optimal cutting	Manuel Roveri
 optimal cutting	Sugwoo Byun
 optimal cutting	Volker H&uuml;bsch
 optimal design	Mesaac Makpangou
 optimal design	Przemyslaw Stpiczynski
 optimal embeddings	Jonathan Meyer
 optimal embeddings	Richard F. Rashid
 optimal expansion	Jonathan P. Bowen
 optimal expansion	Richard F. Riesenfeld
 Optimal Extension Fields	Cristopher Moore
 optimal feedback control.	Werner Damm
 optimal generations	Mahesh K. Varanasi
 optimal generations	Martin Fowler
 optimal hyperplane scheduling	Richard M. Voyles
 optimal hyperplane scheduling	Vijay K. Garg
 optimal hyperplane scheduling	Wolf-Tilo Balke
 optimal hyperplane time schedule	Richard M. Wilson
 optimal hyperplane time schedule	Vijay K. Jain
 optimal hyperplane time schedule	Won Woo Ro
 optimal localization	Birte Glimm
 optimal localization	Luigi Laura
 optimal makespan	Richard Mark Soley
 optimal makespan	Vijay K. Vaishnavi
 optimal makespan	Wonjun Lee
 optimal model matching	Jan Vahrenhold
 optimal model matching	Lucja Kot
 optimal model matching	Mark Grechanik
 optimal network topology	Changming Sun
 optimal network topology	Monique Snoeck
 optimal network topology	Shaul Markovitch
 optimal nonuniform wire sizing	Armin B. Cremers
 optimal nonuniform wire sizing	Charles A. Bouman
 optimal nonuniform wire sizing	Yaochu Jin
 optimal peering	Altigran Soares da Silva
 optimal peering	Claire Cardie
 optimal peering	St&eacute;phanie Delaune
 optimal performance	Nicola Ferro
 optimal performance	Peter A. Gloor
 optimal performance	Tor St&aring;lhane
 optimal point-to-point broadcast algorithms	Juha R&ouml;ning
 optimal point-to-point broadcast algorithms	Omer Reingold
 optimal preemptive scheduling algorithm	Harrie C. M. de Swart
 optimal preemptive scheduling algorithm	Lucas Zamboulis
 optimal preemptive scheduling algorithm	Stephen W. Liddle
 optimal representation	Katrina E. Falkner
 optimal representation	Nirmal J. Patel
 optimal separating hyperplane	Colin Boyd
 optimal separating hyperplane	Ziyang Liu
 optimal software rejuvenation	Euripides Markou
 optimal software rejuvenation	Ingmar Weber
 optimal software rejuvenation	Lech Madeyski
 optimal solutions	Boris Skoric
 optimal solutions	Carsten Schulte
 optimal solutions	Michael Gleicher
 optimal solutions	Nicola Nobile
 optimal solutions	Sam Chapman
 optimal spacing	Jacques Ducloy
 optimal spacing	Naoki Kobayashi
 optimal state assignment	Miguel Villarroel
 optimal state assignment	Thomas Dandekar
 optimal state assignment	Ulrike Lucke
 optimal strategies	Roland Ritsch
 optimal strategies	Ronald L. Graham
 optimal time inversion	Jean-St&eacute;phane Varr&eacute;
 optimal time inversion	Roy D. Yates
 optimal voltage testing	Babak Mougouie
 optimal voltage testing	Michael Breu&szlig;
 optimal wire sizing	Madiagne Diallo
 optimal wire sizing	Mladen Berekovic
 optimal wire sizing	Patrick Grother
 optimal wire sizing	Steven Pigeon
 optimality	Klaus Kriegel
 optimality	Lei Chen 0005
 optimality	Reino Kurki-Suonio
 optimality.	Geir E. Dullerud
 optimality.	Giovanni De Micheli
 optimally bounded	Harry A. G. Wijshoff
 optimally bounded	Holger Giese
 optimally bounded	Luciano Margara
 optimally bounded	Rainer Manthey
 optimally bounded	Unmil Karadkar
 optimally reordered access	Harry B. Hunt III
 optimally reordered access	Nick Cercone
 optimisation	Dennis Majoe
 optimisation	George Pavlou
 optimisation	Jack Tigh Dennerlein
 optimisation	Joachim Sauer
 optimisation	Jochen H. Schiller
 optimisation	K. Rustan M. Leino
 optimisation	Marshall W. Bern
 optimisation	Martin Josef Geiger
 optimisation	Nelly Fazio
 optimisation	Nick McKeown
 optimisation	Nicole Megow
 optimisation	Nikos Mamoulis
 optimisation	Paolo Liberatore
 optimisation	Paul D. Franzon
 optimisation	Pedro de las Heras Quir&oacute;s
 optimisation	Peter Widmayer
 optimisation	Pierangelo Veltri
 optimisation	Pierre Lescanne
 optimisation	Robert Krug
 optimisation	Ryan Eustice
 optimisation	Stefan Dorendorf
 optimisation	Thorsten Strufe
 optimisation	Vijayan Sugumaran
 optimisation	Xiaowei Ying
 optimisation	Yakov Nekrich
 optimistic	Michael Segal
 optimistic commit protocol	Jelena V. Misic
 optimistic commit protocol	Karim Ba&iuml;na
 optimistic commit protocol	Peter Michael Young
 optimistic commit protocol	Ralf Rantzau
 optimistic concurrency control	Andrew Rau-Chaplin
 optimistic concurrency control	Martin R. Albrecht
 Optimistic Processing	Bart De Moor
 Optimistic Processing	Gabriel Altmann
 Optimistic Processing	Michael H. Goldwasser
 Optimistic Processing	Ronitt Rubinfeld
 optimistic programming	Andr&eacute; Kushniruk
 optimistic programming	Christian H. Bischof
 optimistic programming	Jun Ni
 optimistic protocol	Nelma Moreira
 optimistic protocol	Prasanna Padmanabhan
 optimistic protocols	G&uuml;nther Eichhorn
 optimistic protocols	Michael Schwind
 optimistic replication	Ioannis Stamelos
 optimistic replication	Michael Sonnenschein
 optimistic replication	Peter Widmayer
 optimistic replication	Peter Willett 0002
 optimistic synchronization	Vincent Moulton
 optimistic synchronization	Wei-Ngan Chin
 optimization	Alberto Apostolico
 optimization	Andr&eacute; Ludwig
 optimization	Angelos D. Keromytis
 optimization	Anoop Sarkar
 optimization	Anthony P. Reeves
 optimization	Antonio Ortega
 optimization	Bernhard Thalheim
 optimization	Christian Bizer
 optimization	Christopher Thomas
 optimization	Claire Le Goues
 optimization	Claudine Picaronny
 optimization	Csaba Andras Moritz
 optimization	David W. Matula
 optimization	Fiora Pirri
 optimization	John C. Mitchell
 optimization	John R. Kender
 optimization	Joseph E. Urban
 optimization	Josiane Zerubia
 optimization	Kurt Maly
 optimization	Laura K. Dillon
 optimization	Laurent Bonnaud
 optimization	Lech J&oacute;zwiak
 optimization	Lin Gao 0002
 optimization	Ling Liu
 optimization	Marcello Cinque
 optimization	Maria Cec&iacute;lia Calani Baranauskas
 optimization	Maristella Agosti
 optimization	Marius Bozga
 optimization	Markus Esch
 optimization	Martin Gr&ouml;tschel
 optimization	Maureen C. Stone
 optimization	Mehdi Mahdavi
 optimization	Mei-Po Kwan
 optimization	Michael T. Turvey
 optimization	Moira C. Norrie
 optimization	Muthian Sivathanu
 optimization	Olga Veksler
 optimization	Pai-Cheng Chu
 optimization	Palash Sarkar
 optimization	Peter R. Wilson
 optimization	Prithviraj Dasgupta
 optimization	Richard Chapman
 optimization	Robert L. Constable
 optimization	Rudolf Eigenmann
 optimization	Scott J. Emrich
 optimization	Sol M. Shatz
 optimization	Soo-Chang Pei
 optimization	Sophie Tison
 optimization	Srinivas Aluru
 optimization	Stan Szpakowicz
 optimization	Stefan Sch&auml;ckeler
 optimization	Talel Abdessalem
 optimization	Tandy Warnow
 optimization	Tapani Hyttinen
 optimization	Vernon Rego
 optimization	Waleed Meleis
 optimization	Werner Damm
 optimization	Wolfgang Ortmann
 Optimization Algorithms	Josiane Zerubia
 Optimization Algorithms	Kim B. Bruce
 Optimization Algorithms	Lein Harn
 Optimization Algorithms	Luis Gravano
 optimization model	Barbara Mones-Hattal
 optimization problems	Milind M. Buddhikot
 optimization problems	Mirko Guarnera
 optimization technique	Martin Karsten
 optimization technique	Nicole Schweikardt
 optimization technique	Robert Krug 0002
 optimization techniques	Parke Godfrey
 optimization techniques	Petra A. van den Elsen
 optimization tool	George Loizou
 optimization tool	Samuel T. Chanson
 optimizations	Antonio Natali
 optimizations	Kathryn S. McKinley
 optimizations	Lei Chen 0005
 optimizations	Martin Dietzfelbinger
 optimizations	Paolo Merialdo
 optimizations	Pierfrancesco Foglia
 optimizations	Pieter H. Hartel
 optimizations	Prahladh Harsha
 optimized base algorithm	Lucian Popa 0002
 optimized base algorithm	Marc Moonen
 optimized HDL description	Peter K. Jimack
 optimized HDL description	Seung-won Hwang
 optimizing compiler	Key Pousttchi
 optimizing compiler	Radha Jagadeesan
 optimizing compiler	Ying Xu
 optimizing compilers	Agostino Dovier
 optimizing compilers	Antonio Navarro 0002
 Optimizing Compilers	Jakob Nielsen
 optimizing compilers	Kathy J. Liszka
 optimizing compilers	Lei Wang 0001
 optimizing compilers	Luc Boug&eacute;
 optimizing compilers	Marcus Greferath
 optimizing compilers	Moshe Schwartz
 optimizing compilers	Paul U. Lee
 optimizing compilers	Pieter S. Kritzinger
 Optimizing Compilers	Robyn R. Lutz
 Optimizing Compilers	Ross D. Murch
 optimizing for locality	Ahmad A. Masoud
 optimizing for locality	Luc Bouganim
 optimizing for locality	Paul V. Mockapetris
 optimizing for locality	Thomas Martinetz
 optimum image morph field	Vijayshankar Raman
 optimum traveling salesman tour	Lorrie Faith Cranor
 or gates	Alexander A. Pasko
 or gates	Maged M. Michael
 OR gates	Mart&iacute;n Abadi
 or gates	Patrick Gallinari
 OR gates	Philippe Rigaux
 OR gates	Toomas P. Plaks
 or personality	Am&eacute;lie Marian
 or personality	Mika Klemettinen
 or personality	Rowan Davies
 oracle	Francine Herrmann
 oracle	J. Leon Zhao
 oracle	Matti Rossi
 oracle	Misha Dmitriev
 oracle	Shubhra Sankar Ray
 oracle separation	Ruben van Wendel de Joode
 oracle separation	Ulf Blanke
 oracles	Stephen John Turner
 oracles	Ulrik Brandes
 oracles	Wolfgang Lezius
 ORB	Laurent Mauborgne
 ORB	Patrick Lam
 ORB	Richard J. Fateman
 Orca	Eun-Young Elaine Kang
 Orca	Hans-Christoph Hobohm
 Orca	Parimal Pal Chaudhuri
 Orca language design	Eun-Young Kang
 Orca language design	Hans-Dieter Burkhard
 Orca language design	Paris C. Kanellakis
 orchestra	John L. Hennessy
 orchestra	Nicole Drechsler
 orchestra	Raymond Chiong
 Order effects.	Ben Hertzberg
 ordered binary decision diagram	Carla Piazza
 ordered binary decision diagram	Gerald Weber
 ordered binary decision diagram	Paulo Moura
 Ordered Binary Decision Diagrams	Elizabeth P&eacute;rez Cort&eacute;s
 Ordered Binary Decision Diagrams	Matt W. Mutka
 Ordered Binary Decision Diagrams	Nicola Nobile
 Ordered Binary Decision Diagrams	Richard J. Enbody
 Ordered Binary Decision Diagrams	Xuemei Xie
 Ordered Functional Decision Diagrams	Matt Welsh
 Ordered Functional Decision Diagrams	Xuemin Lin
 ordered multicast	Christer Carlsson
 ordered multicast	David Evans
 ordered multicast	Paolo Tiberio
 orderings.	Dan Rubenstein
 orderings.	Noriko Nagata
 ordinal measures	Eli Biham
 ordinal measures	John J. Leonard
 ordinal measures	John K. Antonio
 ordinal measures	Petra Berenbrink
 ordinal measures	Petra Hofstedt
 organisational change	Stephen F. Smith
 organisational memory	Jovan Popovic
 organisational memory	Zhu Han
 organisational processes	Khalil Djelloul
 organisational processes	Michael Bender
 organisational tacit cross-functional knowledge	Jovisa D. Zunic
 organisational tacit cross-functional knowledge	Zhuoqing Morley Mao
 organizational change	Ivan Stojmenovic
 organizational change	John Perry Barlow
 organizational change	Matt Kaufmann
 organizational change	Shuzhi Sam Ge
